Make,Type,Horsepower,MPG_City,MPG_Highway,MSRP
Acura,SUV,265,17,23,"$36,945"
Acura,Sedan,224,20.4,27.2,"$34,772"
Acura,Sports,290,17,24,"$89,765"
Audi,Sedan,238.46153846,18.615384615,25.923076923,"$41,108"
Audi,Sports,276.25,19,26.75,"$49,630"
Audi,Wagon,280,16.5,23,"$44,965"
BMW,SUV,275,16,22.5,"$44,598"
BMW,Sedan,232.30769231,19.230769231,28.076923077,"$43,380"
BMW,Sports,268.75,18.25,26,"$44,933"
BMW,Wagon,184,19,26,"$32,845"
Buick,SUV,230,17,23.5,"$32,220"
Buick,Sedan,210,19.428571429,29,"$30,057"
Cadillac,SUV,307.5,15,19.5,"$49,895"
Cadillac,Sedan,276.25,18,25.75,"$43,708"
Cadillac,Sports,320,17,25,"$76,200"
Cadillac,Truck,345,13,17,"$52,975"
Chevrolet,SUV,257.5,15.75,19.75,"$33,688"
Chevrolet,Sedan,169.73333333,22.266666667,31.2,"$20,487"
Chevrolet,Sports,350,18,25,"$48,035"
Chevrolet,Truck,254,15.2,19.6,"$31,501"
Chevrolet,Wagon,200,22,30,"$22,225"
Chrysler,Sedan,196.30769231,20.307692308,27.846153846,"$26,389"
Chrysler,Sports,215,17,25,"$34,495"
Chrysler,Wagon,250,17,23,"$31,230"
Dodge,SUV,230,15,21,"$32,235"
Dodge,Sedan,170.125,22.125,29.375,"$21,141"
Dodge,Sports,500,12,20,"$81,795"
Dodge,Truck,211.66666667,16,21.666666667,"$19,382"
Ford,SUV,238.25,14.5,18.75,"$32,055"
Ford,Sedan,173.27272727,21.181818182,28.545454545,"$20,835"
Ford,Sports,244.33333333,18,26,"$28,418"
Ford,Truck,224.66666667,17.666666667,22,"$23,312"
Ford,Wagon,142.5,22.5,29.5,"$19,883"
GMC,SUV,295,14.666666667,18.333333333,"$37,960"
GMC,Sedan,190,16,20,"$25,640"
GMC,Truck,237.5,15.75,20.5,"$24,241"
Honda,Hybrid,83,53,58.5,"$19,625"
Honda,SUV,186.66666667,19.666666667,23.666666667,"$22,037"
Honda,Sedan,174,26.181818182,33.181818182,"$20,525"
Honda,Sports,240,20,25,"$33,260"
Hummer,SUV,316,10,12,"$49,995"
Hyundai,SUV,173,20,26,"$21,589"
Hyundai,Sedan,145.1,23.7,30.7,"$16,939"
Hyundai,Sports,172,19,26,"$18,739"
Infiniti,Sedan,289.16666667,17.833333333,25,"$36,212"
Infiniti,Wagon,297.5,15.5,20.5,"$35,645"
Isuzu,SUV,234,16,20.5,"$26,149"
Jaguar,Sedan,289.5,17.75,26.125,"$53,123"
Jaguar,Sports,342,17,24.5,"$78,495"
Jeep,SUV,178.33333333,17.333333333,21.333333333,"$24,518"
Kia,SUV,192,16,19,"$19,635"
Kia,Sedan,142,22.111111111,29.444444444,"$15,899"
Kia,Wagon,104,26,33,"$11,905"
Land Rover,SUV,224.33333333,14,17.666666667,"$45,832"
Lexus,SUV,233.33333333,15.333333333,20,"$49,898"
Lexus,Sedan,244.16666667,18.333333333,25.166666667,"$40,170"
Lexus,Sports,300,18,23,"$63,200"
Lexus,Wagon,215,18,24,"$32,455"
Lincoln,SUV,301,13,18,"$47,845"
Lincoln,Sedan,248.71428571,17.857142857,25,"$41,456"
MINI,Sedan,139,26.5,35.5,"$18,499"
Mazda,SUV,130,22,25,"$21,087"
Mazda,Sedan,167,23.25,30.5,"$20,180"
Mazda,Sports,179.75,20.5,26.25,"$25,120"
Mazda,Truck,175,19.5,24,"$18,595"
Mercedes-Benz,SUV,290,13.5,15.5,"$61,670"
Mercedes-Benz,Sedan,259.125,18.0625,24.625,"$54,573"
Mercedes-Benz,Sports,365.8,16.2,22.8,"$87,090"
Mercedes-Benz,Wagon,230.33333333,18,25.333333333,"$48,373"
Mercury,SUV,210,16,21,"$29,995"
Mercury,Sedan,218.71428571,17.571428571,24.857142857,"$28,452"
Mercury,Wagon,155,19,26,"$22,595"
Mitsubishi,SUV,196.66666667,17.666666667,22.333333333,"$27,499"
Mitsubishi,Sedan,159.16666667,22.333333333,29,"$20,478"
Mitsubishi,Sports,230.33333333,20,27.333333333,"$27,215"
Mitsubishi,Wagon,160,25,31,"$17,495"
Nissan,SUV,241.66666667,15.333333333,20,"$27,373"
Nissan,Sedan,205.22222222,22,28.555555556,"$22,460"
Nissan,Sports,287,20,26,"$30,650"
